#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.37 aq:21.56 tex:284639 mv:112200 misc:6393 imb:8160 pmb:0 smb:0 d:- ref:;
in:91 out:88 type:P dur:2 cpbdur:2 q:41.33 aq:35.82 tex:152706 mv:31004 misc:6594 imb:635 pmb:3868 smb:3657 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:41.51 aq:38.43 tex:18143 mv:12334 misc:4835 imb:47 pmb:1435 smb:6678 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:41.59 aq:40.45 tex:4267 mv:6172 misc:3329 imb:17 pmb:774 smb:7369 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:41.42 aq:39.35 tex:4905 mv:6319 misc:3600 imb:19 pmb:848 smb:7293 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:41.01 aq:35.63 tex:152450 mv:30533 misc:6593 imb:599 pmb:3965 smb:3596 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:41.17 aq:38.16 tex:18202 mv:12742 misc:5096 imb:41 pmb:1541 smb:6578 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:41.25 aq:39.28 tex:4923 mv:6344 misc:3429 imb:17 pmb:804 smb:7339 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:41.09 aq:39.21 tex:4377 mv:5385 misc:3414 imb:16 pmb:755 smb:7389 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:40.59 aq:35.21 tex:151411 mv:31180 misc:6705 imb:600 pmb:4067 smb:3493 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:40.80 aq:38.07 tex:18984 mv:12348 misc:5172 imb:33 pmb:1564 smb:6563 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:40.91 aq:38.65 tex:4462 mv:5170 misc:3320 imb:19 pmb:682 smb:7459 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:40.70 aq:38.70 tex:5890 mv:6012 misc:3522 imb:21 pmb:824 smb:7315 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:40.08 aq:35.07 tex:159030 mv:30629 misc:6773 imb:535 pmb:4161 smb:3464 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:40.34 aq:37.13 tex:23572 mv:12438 misc:5318 imb:37 pmb:1604 smb:6519 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:40.46 aq:38.58 tex:6589 mv:6455 misc:3740 imb:12 pmb:896 smb:7252 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:40.21 aq:38.53 tex:6827 mv:6107 misc:3650 imb:23 pmb:876 smb:7261 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:39.60 aq:35.02 tex:156059 mv:30162 misc:6779 imb:584 pmb:4059 smb:3517 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:39.84 aq:36.74 tex:32749 mv:13013 misc:5462 imb:32 pmb:1753 smb:6375 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:39.96 aq:37.96 tex:8662 mv:7203 misc:3999 imb:42 pmb:967 smb:7151 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:39.72 aq:37.24 tex:12214 mv:8178 misc:4720 imb:30 pmb:1353 smb:6777 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:39.14 aq:35.55 tex:112842 mv:26047 misc:7023 imb:483 pmb:3361 smb:4316 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:39.37 aq:36.42 tex:37236 mv:15449 misc:6203 imb:51 pmb:2112 smb:5997 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:39.49 aq:37.30 tex:10943 mv:7629 misc:4372 imb:25 pmb:1165 smb:6970 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:39.25 aq:37.47 tex:10965 mv:6939 misc:4352 imb:24 pmb:1139 smb:6997 d:- ref:0 ;
in:113 out:112 type:P dur:2 cpbdur:2 q:38.68 aq:36.12 tex:49280 mv:14964 misc:6220 imb:227 pmb:2153 smb:5780 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:38.91 aq:36.66 tex:12131 mv:7249 misc:4700 imb:19 pmb:1250 smb:6891 d:- ref:0 ;
in:114 out:114 type:I dur:2 cpbdur:2 q:37.26 aq:33.57 tex:665583 mv:171190 misc:587 imb:8160 pmb:0 smb:0 d:- ref:;
in:118 out:115 type:P dur:2 cpbdur:2 q:38.43 aq:34.68 tex:334728 mv:59108 misc:3572 imb:3488 pmb:3273 smb:1399 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:38.43 aq:35.17 tex:106099 mv:46360 misc:6445 imb:369 pmb:4353 smb:3438 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:38.43 aq:36.10 tex:40967 mv:28142 misc:6971 imb:112 pmb:3215 smb:4833 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:38.43 aq:35.90 tex:47615 mv:31158 misc:6947 imb:147 pmb:3395 smb:4618 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:38.01 aq:34.27 tex:384396 mv:64488 misc:3092 imb:3596 pmb:3671 smb:893 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:38.22 aq:35.00 tex:113299 mv:45738 misc:6267 imb:442 pmb:4433 smb:3285 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:38.32 aq:35.89 tex:44350 mv:27535 misc:6995 imb:154 pmb:3199 smb:4807 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:38.11 aq:35.50 tex:52573 mv:28566 misc:7229 imb:149 pmb:3558 smb:4453 d:- ref:0 ;
