#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=33505 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.90 aq:11.11 tex:1076845 mv:161380 misc:6287 imb:8160 pmb:0 smb:0 d:- ref:;
in:132 out:132 type:B dur:2 cpbdur:2 q:32.57 aq:29.48 tex:972899 mv:89376 misc:2173 imb:1380 pmb:6381 smb:399 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:32.53 aq:30.12 tex:676260 mv:71651 misc:3201 imb:908 pmb:6533 smb:719 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:32.61 aq:30.09 tex:686367 mv:70419 misc:3222 imb:953 pmb:6526 smb:681 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:32.64 aq:28.58 tex:1802915 mv:73024 misc:605 imb:4101 pmb:4047 smb:12 d:- ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:32.65 aq:29.44 tex:958751 mv:87963 misc:2102 imb:1355 pmb:6441 smb:364 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:32.65 aq:30.14 tex:669481 mv:71961 misc:3254 imb:890 pmb:6511 smb:759 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:32.65 aq:30.02 tex:643693 mv:64628 misc:3519 imb:791 pmb:6535 smb:834 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:32.67 aq:28.48 tex:1743512 mv:71021 misc:739 imb:3578 pmb:4548 smb:34 d:- ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:32.65 aq:29.41 tex:906294 mv:77049 misc:2449 imb:1232 pmb:6471 smb:457 d:- ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:32.65 aq:30.04 tex:633941 mv:62655 misc:3516 imb:845 pmb:6528 smb:787 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:32.66 aq:30.07 tex:606479 mv:58172 misc:3909 imb:795 pmb:6408 smb:957 d:- ref:0 ;
